code,age_band,level,category,language,question_text,answer_text,accepted_answers,active
9+-L01-Q01,9+,1,science,en,Which gas do plants take in from the air to make their food?,carbon dioxide,co2 | c o two,
9+-L01-Q02,9+,1,numbers,en,What is twelve times twelve?,one hundred and forty-four,144 | one hundred forty four,
9+-L01-Q03,9+,1,geography,en,What is the capital of India?,New Delhi,delhi | new delhi,
9+-L01-Q04,9+,1,science,en,Which force pulls objects towards the Earth?,gravity,,
9+-L01-Q05,9+,1,words,en,What do we call a word that means the opposite of another word?,an antonym,antonym | opposite word,
9+-L01-Q06,9+,1,space,en,How many planets are there in our solar system?,eight,8 | eight planets,
9+-L01-Q07,9+,1,history,en,Who was the first person to walk on the moon?,Neil Armstrong,armstrong,
9+-L01-Q08,9+,1,science,en,What is the hardest natural substance on Earth?,diamond,a diamond | diamonds,
9+-L01-Q09,9+,1,numbers,en,Which prime number comes right after seven?,eleven,11,
9+-L01-Q10,9+,1,science,en,What do we call the process plants use to make food from sunlight?,photosynthesis,,
9+-L02-Q01,9+,2,science,en,What is the chemical symbol for water?,H2O,h two o | h 2 o,
9+-L02-Q02,9+,2,geography,en,On which continent is the Sahara Desert?,Africa,,
9+-L02-Q03,9+,2,numbers,en,What is fifteen percent of two hundred?,thirty,30,
9+-L02-Q04,9+,2,body,en,How many bones are there in an adult human body?,two hundred and six,206 | two hundred six,
9+-L02-Q05,9+,2,animals,en,What word describes animals that are active at night?,nocturnal,,
9+-L02-Q06,9+,2,space,en,Which planet is known as the red planet?,Mars,,
9+-L02-Q07,9+,2,words,en,What do we call the study of living things?,biology,,
9+-L02-Q08,9+,2,geography,en,What is the tallest mountain in the world?,Mount Everest,everest | mt everest,
9+-L02-Q09,9+,2,science,en,At what temperature in Celsius does water boil at sea level?,one hundred degrees,100 | hundred | one hundred,
9+-L02-Q10,9+,2,numbers,en,What is the square root of eighty-one?,nine,9,
9+-L03-Q01,9+,3,science,en,What is the chemical symbol for gold?,Au,a u | gold is au,
9+-L03-Q02,9+,3,numbers,en,How many degrees are there in a right angle?,ninety,90 | ninety degrees,
9+-L03-Q03,9+,3,geography,en,Which ocean lies between Africa and Australia?,the Indian Ocean,indian ocean | indian,
9+-L03-Q04,9+,3,history,en,Who wrote the Indian national anthem?,Rabindranath Tagore,tagore | rabindranath tagore,
9+-L03-Q05,9+,3,animals,en,What do we call an animal that has no backbone?,an invertebrate,invertebrate | invertebrates,
9+-L03-Q06,9+,3,space,en,What do we call a star that suddenly explodes?,a supernova,supernova | supernovae,
9+-L03-Q07,9+,3,words,en,What do we call words that sound the same but mean different things?,homophones,homophone | homonyms | a homophone,
9+-L03-Q08,9+,3,body,en,Which blood cells help your body fight infection?,white blood cells,white cells | white blood cell | leucocytes,
9+-L03-Q09,9+,3,geography,en,Which is the largest country in the world by area?,Russia,,
9+-L03-Q10,9+,3,numbers,en,What is seven cubed?,three hundred and forty-three,343 | three hundred forty three,
