code,age_band,level,category,language,question_text,answer_text,accepted_answers,active
RID-9+-L01-Q01,9+,1,objects,en,I have keys but no locks and space but no room and you can enter but you cannot go outside. What am I?,a keyboard,keyboard | a computer keyboard,
RID-9+-L01-Q02,9+,1,food,en,What must be broken before you can use it?,an egg,egg | eggs,
RID-9+-L01-Q03,9+,1,wordplay,en,Which month of the year has twenty-eight days?,all of them,every month | all twelve | all months | all of the months,
RID-9+-L01-Q04,9+,1,objects,en,I go through cities and fields but I never move. What am I?,a road,road | roads | a highway | a railway line,
RID-9+-L01-Q05,9+,1,home,en,What has one head and one foot and four legs?,a bed,bed | beds,
RID-9+-L01-Q06,9+,1,nature,en,The more of me there is the less you can see. What am I?,darkness,the dark | dark | night | fog,
RID-9+-L01-Q07,9+,1,objects,en,What can travel all around the world while staying in one corner?,a stamp,stamp | a postage stamp | stamps,
RID-9+-L01-Q08,9+,1,nature,en,What can fill a whole room without taking up any space?,light,the light | sunlight | sound,
RID-9+-L01-Q09,9+,1,wordplay,en,I have branches but no leaves and no trunk and no fruit. What am I?,a bank,bank | a bank branch,
RID-9+-L01-Q10,9+,1,wordplay,en,Which word becomes shorter when you add two letters to it?,short,the word short | shorter,
RID-9+-L02-Q01,9+,2,objects,en,I am full of words but I never speak. What am I?,a dictionary,dictionary | a word book,
RID-9+-L02-Q02,9+,2,wordplay,en,What can you break without ever touching it?,a promise,promise | promises | a rule | rules,
RID-9+-L02-Q03,9+,2,objects,en,I am taken from a mine and shut inside a wooden case and yet almost everybody uses me. What am I?,pencil lead,a pencil | pencil | graphite,
RID-9+-L02-Q04,9+,2,wordplay,en,What belongs to you but other people use it far more than you do?,your name,name | my name | a name,
RID-9+-L02-Q05,9+,2,numbers,en,I am an odd number. Take away one letter and I become even. Which number am I?,seven,7 | the number seven,
RID-9+-L02-Q06,9+,2,objects,en,What has thirteen hearts but no other organs?,a deck of cards,a pack of cards | cards | playing cards,
RID-9+-L02-Q07,9+,2,body,en,What can you hold in your left hand but never in your right hand?,your right elbow,right elbow | my right elbow | your right hand,
RID-9+-L02-Q08,9+,2,wordplay,en,What is always coming but never actually arrives?,tomorrow,the next day | tomorrow morning,
RID-9+-L02-Q09,9+,2,objects,en,I have a neck but no head and two arms but no hands. What am I?,a shirt,shirt | a t shirt | a jacket | a sweater,
RID-9+-L02-Q10,9+,2,body,en,What gets sharper the more you use it?,your brain,brain | my brain | your mind | mind,
RID-9+-L03-Q01,9+,3,wordplay,en,I have a bark but I have no bite. What am I?,a tree,tree | trees,
RID-9+-L03-Q02,9+,3,wordplay,en,If you have me you want to share me but once you share me I am gone. What am I?,a secret,secret | secrets | a surprise,
RID-9+-L03-Q03,9+,3,wordplay,en,What comes once in a minute and twice in a moment but never in a thousand years?,the letter M,m | the letter m | an m,
RID-9+-L03-Q04,9+,3,wordplay,en,Which building has the most stories?,a library,library | a book shop | a bookstore,
RID-9+-L03-Q05,9+,3,wordplay,en,What can be cracked and made and told and played?,a joke,joke | jokes,
RID-9+-L03-Q06,9+,3,nature,en,What is very easy to lift but almost impossible to throw?,a feather,feather | feathers,
RID-9+-L03-Q07,9+,3,wordplay,en,Which word is spelled wrong in every dictionary in the world?,wrong,the word wrong,
RID-9+-L03-Q08,9+,3,nature,en,What has many needles but can never sew?,a cactus,cactus | a cactus plant | cacti | a pine tree,
RID-9+-L03-Q09,9+,3,wordplay,en,What kind of band never plays any music?,a rubber band,rubber band | a hair band | an elastic band,
RID-9+-L03-Q10,9+,3,wordplay,en,What begins with T and ends with T and has T inside it?,a teapot,teapot | a tea pot,
